# Wave 5 rename manifest. Reviewed as a list, not as a diff.
# old	new	module	collision-group	declared in
SunriseMaterialTokens	MaterialTokens	LifeBoardDesign		LifeBoard/LifeBoardDesign/Tokens/ClayColorTokens.swift
LifeBoardMetricKitSubscriber	MetricKitSubscriber	AppDelegate.swift		LifeBoard/AppDelegate.swift
LifeBoardMetricRing	MetricRing	Foundation		LifeBoard/Foundation/Design/LifeBoardAtmosphereRenderer.swift
SunriseMotionTokens	MotionTokens	LifeBoardDesign		LifeBoard/LifeBoardDesign/Tokens/ClayColorTokens.swift
LifeBoardMutationCommand	MutationCommand	Foundation		LifeBoard/Foundation/LifeOSFoundationContracts.swift
LifeBoardMutationCoordinator	MutationCoordinator	Foundation		LifeBoard/Foundation/LifeOSFoundationContracts.swift
LifeBoardMutationCoordinatorError	MutationCoordinatorError	Foundation		LifeBoard/Foundation/LifeOSFoundationContracts.swift
FoundationNoteRouteView	NoteRouteView	Foundation		LifeBoard/Foundation/Navigation/FoundationJournalRoutes.swift
LifeBoardOverlayHost	OverlayHost	Foundation		LifeBoard/Foundation/Design/LifeBoardFoundationGallery.swift
LifeBoardPaperCardModifier	PaperCardModifier	Foundation		LifeBoard/Foundation/Design/LifeBoardAtmosphereRenderer.swift
LifeBoardPaperSection	PaperSection	Foundation		LifeBoard/Foundation/Design/LifeBoardAtmosphereRenderer.swift
LifeBoardPermissionKind	PermissionKind	Foundation		LifeBoard/Foundation/Permissions/LifeBoardPermissionPriming.swift
LifeBoardPermissionPrimingCoordinator	PermissionPrimingCoordinator	Foundation		LifeBoard/Foundation/Permissions/LifeBoardPermissionPriming.swift
LifeBoardPermissionPrimingSheet	PermissionPrimingSheet	Foundation		LifeBoard/Foundation/Permissions/LifeBoardPermissionPrimingSheet.swift
LifeBoardPermissionPrompt	PermissionPrompt	Foundation		LifeBoard/Foundation/Permissions/LifeBoardPermissionPriming.swift
LifeBoardPermissionPromptState	PermissionPromptState	Foundation		LifeBoard/Foundation/Permissions/LifeBoardPermissionPriming.swift
LifeBoardPermissionRecoveryCard	PermissionRecoveryCard	Foundation		LifeBoard/Foundation/Permissions/LifeBoardPermissionPrimingSheet.swift
FoundationPlanRollbackRouteView	PlanRollbackRouteView	Foundation		LifeBoard/Foundation/Navigation/FoundationPlanRoutes.swift
LifeBoardPresentationPreferences	PresentationPreferences	Foundation		LifeBoard/Foundation/LifeOSFoundationContracts.swift
FoundationProjectRouteView	ProjectRouteView	Foundation		LifeBoard/Foundation/Navigation/FoundationProjectRouteView.swift
FoundationRadius	Radius	LifeBoardTokens		Packages/LifeBoardTokens/Sources/LifeBoardTokens/LifeBoardDaypartTokens.swift
LifeBoardRecoveryStatus	RecoveryStatus	Foundation		LifeBoard/Foundation/Persistence/LifeBoardRecoveryStatus.swift
LifeBoardRecoveryStatusService	RecoveryStatusService	Foundation		LifeBoard/Foundation/Persistence/LifeBoardRecoveryStatus.swift
LifeBoardReferenceDashboard	ReferenceDashboard	Foundation		LifeBoard/Foundation/Design/LifeBoardFoundationGallery.swift
LifeBoardRestorationState	RestorationState	Foundation		LifeBoard/Foundation/Navigation/LifeBoardAppRouter.swift
LifeBoardRootRetention	RootRetention	Foundation		LifeBoard/Foundation/Navigation/LifeBoardRootTransition.swift
